dist, distbohr, pol, energy, energyev
0.0 	6.23609869666	 [[ 14.36103489  -0.11962202   2.0562701 ]] 	[[-1.19644767]] 	[[-32.55653749]]
0.5 	7.18096213554	 [[-0.56474608  7.94662519  1.16586232]] 	[[-0.18291649]] 	[[-4.97734051]]
1.0 	8.12582557443	 [[-0.47907624  4.571535    0.42059588]] 	[[-0.0274891]] 	[[-0.74800583]]
1.5 	9.07068901332	 [[-0.22369023  3.33570959  0.28320206]] 	[[-0.01224836]] 	[[-0.33329001]]
2.0 	10.0155524522	 [[-0.135873    2.72311049  0.22895397]] 	[[-0.0077066]] 	[[-0.20970433]]
2.5 	10.9604158911	 [[-0.09687497  2.34464629  0.19675328]] 	[[-0.00551953]] 	[[-0.15019181]]
3.0 	11.90527933	 [[-0.07487931  2.07266844  0.17286755]] 	[[-0.0041948]] 	[[-0.11414475]]
3.5 	12.8501427689	 [[-0.06077047  1.86209093  0.1536617 ]] 	[[-0.00330152]] 	[[-0.08983764]]
4.0 	13.7950062078	 [[-0.05099087  1.69168718  0.13766082]] 	[[-0.00266106]] 	[[-0.07241004]]
4.5 	14.7398696466	 [[-0.04384228  1.54969523  0.12406743]] 	[[-0.00218313]] 	[[-0.05940515]]
5.0 	15.6847330855	 [[-0.0384068   1.4288577   0.11236779]] 	[[-0.00181614]] 	[[-0.0494191]]
5.5 	16.6295965244	 [[-0.0341447   1.32436182  0.10219894]] 	[[-0.00152814]] 	[[-0.04158228]]
6.0 	17.5744599633	 [[-0.03071843  1.23284723  0.09329083]] 	[[-0.00129817]] 	[[-0.0353246]]
6.5 	18.5193234022	 [[-0.02790658  1.15187468  0.08543589]] 	[[-0.00111191]] 	[[-0.03025614]]
7.0 	19.4641868411	 [[-0.02555828  1.0796186   0.07847076]] 	[[-0.00095922]] 	[[-0.02610134]]
7.5 	20.40905028	 [[-0.02356738  1.01467826  0.07226456]] 	[[-0.00083276]] 	[[-0.02266025]]
