time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 12:49:35 +0000	TIPS_Pc_cation_neut_delocdist0_inner5	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	5	0	-1.19343405997	0.0	-2.38686811994	1.19343405997	-1.78357328906e-13	-1.50726653381e-13	-4.12170297892e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 12:49:42 +0000	TIPS_Pc_cation_neut_delocdist1_inner5	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	5	0	0.035669774858	0.472248985337	-0.873158420958	0.436579210479	-8.67639293745e-14	-6.27692342547e-14	-1.72778458207e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 12:49:35 +0000	TIPS_Pc_cation_neut_delocdist0_inner5	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	5	0	-1.19343405997	0.0	-2.38686811994	1.19343405997	-1.78357328906e-13	-1.50726653381e-13	-4.12170297892e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 12:49:42 +0000	TIPS_Pc_cation_neut_delocdist1_inner5	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	5	0	0.035669774858	0.472248985337	-0.873158420958	0.436579210479	-8.67639293745e-14	-6.27692342547e-14	-1.72778458207e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 12:52:58 +0000	TIPS_Pc_cation_neut_delocdist2_inner5	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	5	0	0.168932808034	0.382098871201	-0.426332126333	0.213166063166	7.87703235972e-14	3.58532648015e-14	-3.17801340799e-15
time	name	mols_cen	mols_sur	mols_outer	insize	outsize	energyev	Uqq	Uqd	Udd	Totdip_x	Totdip_y	Totdip_z
Thu, 22 May 2014 12:53:14 +0000	TIPS_Pc_neut_neut_delocdist0_inner5	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	['sp_TIPS_Pc_neut.xyz']	5	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
